Total: 380
Line20: <法轮功> 法_轮功
Line20: <轮功> 轮功
Line22: <法轮功> 法_轮功
Line22: <轮功> 轮功
Line23: <法轮功> 法_轮功
Line23: <轮功> 轮功
Line23: <法轮功> 法_轮功
Line23: <轮功> 轮功
Line24: <法轮功> 法_轮功
Line24: <轮功> 轮功
Line32: <乳方> 如方
Line38: <法轮功> 法_轮功
Line38: <轮功> 轮功
Line40: <法轮功> 法_轮功
Line40: <轮功> 轮功
Line41: <法轮功> 法_轮功
Line41: <轮功> 轮功
Line41: <法轮功> 法_轮功
Line41: <轮功> 轮功
Line43: <兼职> 键，组织
Line47: <三去车仑> 氵去车仑
Line47: <车仑工力> 车仑工力
Line47: <轮功> 仑工
Line48: <三去车仑> 氵去车仑
Line48: <车仑工力> 车仑工力
Line48: <轮功> 仑工
Line49: <三去车仑> 氵去车仑
Line49: <车仑工力> 车仑工力
Line49: <轮功> 仑工
Line51: <三去车仑> 氵去车仑
Line51: <车仑工力> 车仑工力
Line51: <轮功> 仑工
Line53: <吴仪> 无疑
Line53: <救市> 就是
Line58: <法轮功> 法轮_功
Line58: <轮功> 轮_功
Line61: <法轮功> 法轮_功
Line61: <轮功> 轮_功
Line63: <法轮功> 法轮_功
Line63: <轮功> 轮_功
Line64: <法轮功> 法轮_功
Line64: <轮功> 轮_功
Line65: <法轮功> 法轮_功
Line65: <轮功> 轮_功
Line68: <法轮功> 法轮_功
Line68: <轮功> 轮_功
Line69: <法轮功> 法轮_功
Line69: <轮功> 轮_功
Line70: <法轮功> 法轮_功
Line70: <轮功> 轮_功
Line70: <法轮功> 法轮_功
Line70: <轮功> 轮_功
Line80: <法轮功> 法轮_功
Line80: <轮功> 轮_功
Line81: <法轮功> 法伦工
Line81: <轮功> 伦工
Line85: <客服> 课桌扶
Line87: <法轮功> 法伦工
Line87: <轮功> 伦工
Line88: <法轮功> 法伦工
Line88: <轮功> 伦工
Line89: <法轮功> 法伦工
Line89: <轮功> 伦工
Line95: <法轮功> 法伦工
Line95: <轮功> 伦工
Line95: <法轮功> 法伦工
Line95: <轮功> 伦工
Line99: <法轮功> 法伦工
Line99: <轮功> 伦工
Line100: <法轮功> 法伦工
Line100: <轮功> 伦工
Line101: <法轮功> 法伦工
Line101: <轮功> 伦工
Line103: <栗智> 里只
Line105: <法轮功> 法伦工
Line105: <轮功> 伦工
Line110: <法轮功> 法伦工
Line110: <轮功> 伦工
Line111: <法轮功> 法伦工
Line111: <轮功> 伦工
Line111: <法轮功> 法伦工
Line111: <轮功> 伦工
Line112: <法轮功> 法伦工
Line112: <轮功> 伦工
Line113: <法轮功> 法伦工
Line113: <轮功> 伦工
Line114: <法轮功> 法伦工
Line114: <轮功> 伦工
